 b0              v(Vbn)          i(Vout)         i(Vout1)        v(b6)           v(b5)           v(b4)           v(b3)           v(b2)           v(b1)           v(b0)           v(b0out)        v(b1out)        v(b6out)       
 0.00000000e+00  4.04857659e-01  1.67607061e-11  8.27071744e-12  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.61764267e-09  3.49262495e-09  3.30883413e-09 
 1.80000000e+00  4.04858856e-01  1.46383769e-09  1.01027808e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.04858858e-01  3.49262500e-09  3.30883423e-09 
 0.00000000e+00  4.04858806e-01  2.97587560e-09  2.14525642e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.61764273e-09  4.04858808e-01  3.30883416e-09 
 1.80000000e+00  4.04859904e-01  4.28413949e-09  3.18094351e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.04859906e-01  4.04859906e-01  3.30883431e-09 
 0.00000000e+00  4.04858794e-01  5.46270885e-09  4.14827639e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.61764278e-09  3.49262500e-09  3.30883416e-09 
 1.80000000e+00  4.04859965e-01  6.70743678e-09  5.19929699e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.04859967e-01  3.49262506e-09  3.30883425e-09 
 0.00000000e+00  4.04859965e-01  8.01133811e-09  6.32741148e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.61764291e-09  4.04859968e-01  3.30883431e-09 
 1.80000000e+00  4.04861068e-01  9.20293400e-09  7.37884420e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  4.04861070e-01  4.04861070e-01  3.30883433e-09 
 0.00000000e+00  4.04858806e-01  1.11041398e-08  9.08980269e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.61764279e-09  3.49262506e-09  3.30883416e-09 
 1.80000000e+00  4.04859979e-01  1.22742507e-08  1.01597664e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.04859981e-01  3.49262512e-09  3.30883426e-09 
 0.00000000e+00  4.04859979e-01  1.35024860e-08  1.12946168e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.61764291e-09  4.04859981e-01  3.30883426e-09 
 1.80000000e+00  4.04861109e-01  1.46484872e-08  1.23624631e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.04861111e-01  4.04861111e-01  3.30883434e-09 
 0.00000000e+00  4.04859955e-01  1.56191149e-08  1.32734499e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.61764285e-09  3.49262512e-09  3.30883425e-09 
 1.80000000e+00  4.04861108e-01  1.67501668e-08  1.43410404e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.04861110e-01  3.49262517e-09  3.30883439e-09 
 0.00000000e+00  4.04861069e-01  1.79364121e-08  1.54675917e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.61764301e-09  4.04861071e-01  3.30883439e-09 
 1.80000000e+00  4.04862260e-01  1.90538398e-08  1.65340168e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  4.04862262e-01  4.04862262e-01  3.30883448e-09 
 0.00000000e+00  4.04858824e-01  1.88047680e-08  1.62960134e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.61764279e-09  3.49262506e-09  3.30883417e-09 
