 b0              v(Vbn)          i(Vout)         i(Vout1)        v(b6)           v(b5)           v(b4)           v(b3)           v(b2)           v(b1)           v(b0)           v(b0out)        v(b1out)        v(b6out)       
 0.00000000e+00  3.99120526e-01  1.82886366e-11  8.29913915e-12  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.38890040e-09  3.42121060e-09  3.32769704e-09 
 1.80000000e+00  3.99122021e-01  1.48385172e-09  9.23364496e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99122023e-01  3.42121063e-09  3.32769716e-09 
 0.00000000e+00  3.99121947e-01  2.84541301e-09  1.85312388e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.38890037e-09  3.99121949e-01  3.32769710e-09 
 1.80000000e+00  3.99123396e-01  4.14756539e-09  2.79563039e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.99123398e-01  3.99123398e-01  3.32769722e-09 
 0.00000000e+00  3.99121960e-01  5.44990525e-09  3.78068421e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.38890037e-09  3.42121063e-09  3.32769716e-09 
 1.80000000e+00  3.99123369e-01  6.67461298e-09  4.73919215e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.99123371e-01  3.42121066e-09  3.32769716e-09 
 0.00000000e+00  3.99123386e-01  7.82230858e-09  5.66157610e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.38890045e-09  3.99123388e-01  3.32769722e-09 
 1.80000000e+00  3.99124801e-01  8.98759961e-09  6.61854926e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.99124803e-01  3.99124803e-01  3.32769722e-09 
 0.00000000e+00  3.99121915e-01  1.07862585e-08  8.12968892e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.38890042e-09  3.42121063e-09  3.32769716e-09 
 1.80000000e+00  3.99123291e-01  1.19269825e-08  9.10601727e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99123293e-01  3.42121066e-09  3.32769721e-09 
 0.00000000e+00  3.99123291e-01  1.29984799e-08  1.00341140e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.38890039e-09  3.99123294e-01  3.32769721e-09 
 1.80000000e+00  3.99124726e-01  1.41102338e-08  1.10067049e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.99124728e-01  3.99124728e-01  3.32769727e-09 
 0.00000000e+00  3.99123347e-01  1.51732003e-08  1.19450476e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.38890045e-09  3.42121066e-09  3.32769716e-09 
 1.80000000e+00  3.99124733e-01  1.62688150e-08  1.29195143e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.99124735e-01  3.42121068e-09  3.32769727e-09 
 0.00000000e+00  3.99124739e-01  1.72961382e-08  1.38395393e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.38890041e-09  3.99124741e-01  3.32769727e-09 
 1.80000000e+00  3.99126152e-01  1.83754387e-08  1.48116328e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.99126155e-01  3.99126154e-01  3.32769734e-09 
 0.00000000e+00  3.99121947e-01  1.86830745e-08  1.50899808e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.38890042e-09  3.42121063e-09  3.32769716e-09 
 1.80000000e+00  3.99123326e-01  1.97770852e-08  1.60821116e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99123328e-01  3.42121066e-09  3.32769715e-09 
 0.00000000e+00  3.99123345e-01  2.07922844e-08  1.70072383e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.38890040e-09  3.99123347e-01  3.32769722e-09 
