 net9            v(Vbn)          i(Vout)         i(Vout1)        v(b6)           v(b5)           v(b4)           v(b3)           v(b2)           v(b1)           v(b0)           v(b0out)        v(b1out)        v(b6out)       
 9.45437985e-01  3.99474058e-01  2.40456336e-08  2.32516796e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.32533637e-09  3.32533637e-09  3.32533637e-09 
 9.20724331e-01  3.99475345e-01  2.50906311e-08  2.42684919e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99475347e-01  3.32533649e-09  3.32533649e-09 
 9.21019302e-01  3.99475392e-01  2.60651224e-08  2.52170708e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.32533644e-09  3.99475395e-01  3.32533644e-09 
 9.03786809e-01  3.99476644e-01  2.71042902e-08  2.62289188e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.99476646e-01  3.99476646e-01  3.32533651e-09 
 9.21601334e-01  3.99475366e-01  2.80189856e-08  2.71199043e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.32533644e-09  3.32533644e-09  3.32533644e-09 
 9.04132554e-01  3.99476655e-01  2.90612391e-08  2.81354308e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.99476657e-01  3.32533651e-09  3.32533651e-09 
 9.04422599e-01  3.99476666e-01  3.00299177e-08  2.90795715e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.32533651e-09  3.99476668e-01  3.32533651e-09 
 8.91053922e-01  3.99478042e-01  3.10603444e-08  3.00841434e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.99478044e-01  3.99478044e-01  3.32533658e-09 
 9.95411036e-01  3.99472761e-01  3.22109305e-08  3.12063672e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.32533629e-09  3.32533629e-09  3.32533629e-09 
 9.48134473e-01  3.99474020e-01  3.32641565e-08  3.22338983e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99474022e-01  3.32533636e-09  3.32533636e-09 
