 iin             i(vb0)          i(vb1)          i(vb2)          i(vb3)          i(vb4)          i(vb5)          i(vb6)          i(vout)         i(vdump)       
 3.02468005e+01 -2.99248809e-07  2.38317369e-07 -1.24052746e-07 -4.49604660e-08 -1.58256537e-08 -1.94687733e-09  5.71602902e-07  3.23885643e-07  2.59401817e-07 
 3.04029069e+01  1.53337500e-07 -1.93568954e-07 -6.99377223e-08 -2.58828678e-08 -9.29997190e-09 -1.10231246e-09  5.72237898e-07  4.25783485e-07  1.53337752e-07 
 3.05394339e+01 -1.94344180e-07 -7.03053433e-08 -2.62486037e-08 -1.00571702e-08 -3.69229536e-09 -4.17197832e-10  5.72791843e-07  2.67726990e-07  3.07789518e-07 
 3.09140697e+01  8.80221235e-09  1.76085185e-08  3.52315236e-08  7.05212210e-08  1.41285538e-07  2.83648992e-07 -2.03215222e-12  5.57095889e-07  8.80230516e-09 
 3.13534748e+01 -4.00776988e-07  1.19693743e-07  8.58471922e-08  9.53350590e-08  1.52894272e-07  2.88009898e-07 -2.03215222e-12  3.41001084e-07  2.14003358e-07 
 3.17975379e+01  1.09779768e-07 -3.86646507e-07  1.35558827e-07  1.19528631e-07  1.64168846e-07  2.92227519e-07 -2.03215222e-12  4.34614978e-07  1.09779956e-07 
 3.20863480e+01 -2.61906728e-07 -2.44782956e-07  1.67047726e-07  1.34819458e-07  1.71267061e-07  2.94873097e-07 -2.03170814e-12  2.61315577e-07  2.76381735e-07 
 3.27027717e+01  5.77781665e-08  1.15742428e-07 -3.59870565e-07  1.66384719e-07  1.85834129e-07  3.00276468e-07 -2.03259631e-12  4.66143235e-07  5.77783333e-08 
 3.30360834e+01 -3.28478846e-07  2.03516104e-07 -2.83888768e-07  1.82897947e-07  1.93397137e-07  3.03066820e-07 -2.03215222e-12  2.70508308e-07  2.46237742e-07 
 3.33299576e+01  1.39843586e-07 -2.52060851e-07 -2.19562128e-07  1.97166547e-07  1.99892194e-07  3.05454265e-07 -2.03170814e-12  3.70731514e-07  1.39843810e-07 
 3.35572737e+01 -2.16104910e-07 -1.23697716e-07 -1.71941643e-07  2.08025006e-07  2.04808914e-07  3.07255757e-07 -2.03259631e-12  2.08343333e-07  2.97552191e-07 
 3.45863546e+01  3.16875325e-08  6.34294170e-08  1.27057456e-07 -3.09064731e-07  2.25970023e-07  3.14946183e-07 -2.03170814e-12  4.54023773e-07  3.16876801e-08 
 3.49954421e+01 -3.65696657e-07  1.60079725e-07  1.72400196e-07 -2.69993401e-07  2.33916516e-07  3.17804715e-07 -2.03170814e-12  2.48509010e-07  2.29596739e-07 
 3.53807644e+01  1.24729876e-07 -3.19209170e-07  2.13988946e-07 -2.34665646e-07  2.41177033e-07  3.20400744e-07 -2.03215222e-12  3.46419685e-07  1.24730096e-07 
 3.56525847e+01 -2.38716269e-07 -1.82479457e-07  2.42786625e-07 -2.10629354e-07  2.46173672e-07  3.22177989e-07 -2.03259631e-12  1.79311134e-07  2.87044951e-07 
 3.60941740e+01  7.18060808e-08  1.43904349e-07 -2.34594259e-07 -1.73203202e-07  2.54080093e-07  3.24973615e-07 -2.03215222e-12  3.86964578e-07  7.18062725e-08 
 3.64133734e+01 -3.06809803e-07  2.29238457e-07 -1.64094469e-07 -1.47455428e-07  2.59639446e-07  3.26926397e-07 -2.03170814e-12  1.97442523e-07  2.55987248e-07 
 3.66815196e+01  1.49729039e-07 -2.09034703e-07 -1.07408745e-07 -1.26713724e-07  2.64212877e-07  3.28524352e-07 -2.03215222e-12  2.99307007e-07  1.49729280e-07 
 3.69112616e+01 -2.00348941e-07 -8.46370964e-08 -6.29416945e-08 -1.09613682e-07  2.68063387e-07  3.29863474e-07 -2.03215222e-12  1.40383384e-07  3.04950841e-07 
 3.87564311e+01  1.84245163e-08  3.68671463e-08  7.37992398e-08  1.47866402e-07 -2.17444563e-07  3.39694208e-07 -2.03215222e-12  3.99204851e-07  1.84246441e-08 
 3.93616912e+01 -3.85711746e-07  1.36987311e-07  1.22722046e-07  1.70771532e-07 -1.98802836e-07  3.42592613e-07 -2.03215222e-12  1.88556848e-07  2.20690806e-07 
 3.99588872e+01  1.16274900e-07 -3.57258353e-07  1.69459212e-07  1.92489766e-07 -1.81256838e-07  3.45310213e-07 -2.03215222e-12  2.85016813e-07  1.16275112e-07 
 4.03604057e+01 -2.51716304e-07 -2.17228187e-07  2.00212383e-07  2.06634639e-07 -1.69910752e-07  3.47062136e-07 -2.03170814e-12  1.15051852e-07  2.81054704e-07 
 4.11257536e+01  6.40368928e-08  1.28304049e-07 -3.03467547e-07  2.32663775e-07 -1.49236176e-07  3.50243523e-07 -2.03215222e-12  3.22542425e-07  6.40370790e-08 
 4.15940658e+01 -3.18677723e-07  2.15101462e-07 -2.29060480e-07  2.48038774e-07 -1.37172714e-07  3.52093323e-07 -2.03259631e-12  1.30320575e-07  2.50641244e-07 
 4.20017992e+01  1.44305014e-07 -2.32534788e-07 -1.67621188e-07  2.61116147e-07 -1.27015574e-07  3.53647076e-07 -2.03170814e-12  2.31894608e-07  1.44305254e-07 
 4.23292501e+01 -2.08914747e-07 -1.05633830e-07 -1.21115628e-07  2.71427265e-07 -1.19083241e-07  3.54858097e-07 -2.03215222e-12  7.15358600e-08  3.00919982e-07 
 4.33704525e+01  3.76387090e-08  7.53546084e-08  1.50993843e-07 -2.03977708e-07 -9.51207046e-08  3.58502947e-07 -2.03215222e-12  3.23389607e-07  3.76388722e-08 
 4.39628719e+01 -3.56383009e-07  1.70880758e-07  1.95717145e-07 -1.67241227e-07 -8.23471842e-08  3.60445375e-07 -2.03215222e-12  1.21069793e-07  2.33750427e-07 
 4.45180340e+01  1.28848067e-07 -3.00785178e-07  2.35941037e-07 -1.34761776e-07 -7.10836470e-08  3.62184897e-07 -2.03215222e-12  2.20341322e-07  1.28848298e-07 
 4.49244390e+01 -2.32152578e-07 -1.65161676e-07  2.64465849e-07 -1.12204023e-07 -6.32652384e-08  3.63411115e-07 -2.03170814e-12  5.50913945e-08  2.90082833e-07 
 4.55345054e+01  7.60412610e-08  1.52411850e-07 -1.97867073e-07 -8.03071378e-08 -5.21807548e-08  3.65180470e-07 -2.03170814e-12  2.63276537e-07  7.60414635e-08 
 4.60369079e+01 -3.00123983e-07  2.37263316e-07 -1.28616225e-07 -5.58590090e-08 -4.36103331e-08  3.66576169e-07 -2.03170814e-12  7.56278803e-08  2.59006221e-07 
 4.64622341e+01  1.52915032e-07 -1.95372027e-07 -7.41955262e-08 -3.64910537e-08 -3.67181898e-08  3.67716373e-07 -2.03215222e-12  1.77852540e-07  1.52915283e-07 
 4.68419853e+01 -1.95049652e-07 -7.19714350e-08 -3.03853178e-08 -2.05496886e-08 -3.08147738e-08  3.68703583e-07 -2.03215222e-12  1.99306715e-08  3.07455437e-07 
 4.91669504e+01  1.15800676e-08  2.31672400e-08  4.63597165e-08  9.28215387e-08  1.86076911e-07 -6.34932138e-08 -2.03259631e-12  2.96510183e-07  1.15801762e-08 
