 b0              v(Vbn)          i(Vout)         i(Vout1)        v(b6)           v(b5)           v(b4)           v(b3)           v(b2)           v(b1)           v(b0)           v(b0out)        v(b1out)        v(b6out)       
 0.00000000e+00  4.03482093e-01  7.85059868e-12  8.58335625e-12  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.36767037e-09  3.35143193e-09  3.29827078e-09 
 1.80000000e+00  4.03483273e-01  4.48364986e-10  9.90340254e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.03483275e-01  3.35143206e-09  3.29827087e-09 
 0.00000000e+00  4.03483356e-01  1.08639957e-09  2.01531236e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.36767040e-09  4.03483358e-01  3.29827087e-09 
 1.80000000e+00  4.03484549e-01  1.81449669e-09  3.02850367e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.03484551e-01  4.03484551e-01  3.29827091e-09 
 0.00000000e+00  4.03483273e-01  2.74957824e-09  4.22623714e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.36767040e-09  3.35143206e-09  3.29827087e-09 
 1.80000000e+00  4.03484496e-01  3.59515030e-09  5.25608357e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.03484498e-01  3.35143214e-09  3.29827096e-09 
 0.00000000e+00  4.03484541e-01  4.45760171e-09  6.27510133e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.36767044e-09  4.03484544e-01  3.29827098e-09 
 1.80000000e+00  4.03485728e-01  5.34767758e-09  7.30368299e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  4.03485730e-01  4.03485730e-01  3.29827105e-09 
 0.00000000e+00  4.03483283e-01  6.70012098e-09  8.83609630e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.36767039e-09  3.35143206e-09  3.29827087e-09 
 1.80000000e+00  4.03484459e-01  7.63895268e-09  9.88428894e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.03484461e-01  3.35143214e-09  3.29827097e-09 
 0.00000000e+00  4.03484570e-01  8.56459726e-09  1.09086784e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.36767043e-09  4.03484572e-01  3.29827097e-09 
 1.80000000e+00  4.03485800e-01  9.51628789e-09  1.19542847e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.03485802e-01  4.03485802e-01  3.29827100e-09 
 0.00000000e+00  4.03484473e-01  1.05643000e-08  1.30980737e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.36767048e-09  3.35143219e-09  3.29827095e-09 
 1.80000000e+00  4.03485743e-01  1.15276528e-08  1.41438505e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.03485745e-01  3.35143227e-09  3.29827105e-09 
 0.00000000e+00  4.03485794e-01  1.24682067e-08  1.51607793e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.36767048e-09  4.03485796e-01  3.29827107e-09 
 1.80000000e+00  4.03486948e-01  1.34384498e-08  1.62057603e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  4.03486950e-01  4.03486950e-01  3.29827115e-09 
 0.00000000e+00  4.03483292e-01  1.36391513e-08  1.64213105e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.36767040e-09  3.35143201e-09  3.29827087e-09 
 1.80000000e+00  4.03484479e-01  1.46325448e-08  1.74875083e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.03484481e-01  3.35143213e-09  3.29827096e-09 
 0.00000000e+00  4.03484614e-01  1.55894015e-08  1.85114573e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.36767043e-09  4.03484616e-01  3.29827097e-09 
 1.80000000e+00  4.03485752e-01  1.65747407e-08  1.95635437e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.03485754e-01  4.03485754e-01  3.29827106e-09 
 0.00000000e+00  4.03484512e-01  1.76508107e-08  2.07097628e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.36767048e-09  3.35143214e-09  3.29827096e-09 
