 b0              v(Vbn)          i(Vout)         i(Vout1)        v(b6)           v(b5)           v(b4)           v(b3)           v(b2)           v(b1)           v(b0)           v(b0out)        v(b1out)        v(b6out)       
 0.00000000e+00  3.99291675e-01  9.59296364e-12  8.32756086e-12  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.44180348e-09  3.41350214e-09  3.43630651e-09 
 1.80000000e+00  3.99293021e-01  6.22524252e-10  9.55935775e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99293024e-01  3.41350220e-09  3.43630660e-09 
 0.00000000e+00  3.99293011e-01  1.29747764e-09  1.85484339e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.44180351e-09  3.99293013e-01  3.43630660e-09 
 1.80000000e+00  3.99294356e-01  2.08713380e-09  2.82939538e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.99294358e-01  3.99294358e-01  3.43630668e-09 
 0.00000000e+00  3.99293039e-01  2.87744818e-09  3.75972320e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.44180351e-09  3.41350220e-09  3.43630660e-09 
 1.80000000e+00  3.99294405e-01  3.74393946e-09  4.74881290e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.99294407e-01  3.41350219e-09  3.43630669e-09 
 0.00000000e+00  3.99294422e-01  4.54183566e-09  5.64033087e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.44180353e-09  3.99294424e-01  3.43630668e-09 
 1.80000000e+00  3.99295770e-01  5.43969423e-09  6.62784316e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.99295772e-01  3.99295772e-01  3.43630674e-09 
 0.00000000e+00  3.99292970e-01  6.11405304e-09  7.36115169e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.44180351e-09  3.41350215e-09  3.43630655e-09 
 1.80000000e+00  3.99294341e-01  7.04648322e-09  8.36645597e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99294343e-01  3.41350219e-09  3.43630668e-09 
 0.00000000e+00  3.99294357e-01  7.88550379e-09  9.26378618e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.44180354e-09  3.99294359e-01  3.43630668e-09 
 1.80000000e+00  3.99295691e-01  8.82650764e-09  1.02638609e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.99295693e-01  3.99295694e-01  3.43630673e-09 
 0.00000000e+00  3.99294395e-01  9.66037116e-09  1.11454881e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.44180353e-09  3.41350225e-09  3.43630668e-09 
