 b0              v(Vbn)          i(Vout)         i(Vout1)        v(b6)           v(b5)           v(b4)           v(b3)           v(b2)           v(b1)           v(b0)           v(b0out)        v(b1out)        v(b6out)       
 0.00000000e+00  4.02658823e-01  1.54678372e-11  8.45545856e-12  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.36553010e-09  3.39781287e-09  3.23054951e-09 
 1.80000000e+00  4.02660081e-01  1.35455240e-09  1.06348352e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.02660083e-01  3.39781291e-09  3.23054958e-09 
 0.00000000e+00  4.02660080e-01  2.74792380e-09  2.22689778e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.36553016e-09  4.02660082e-01  3.23054958e-09 
 1.80000000e+00  4.02661359e-01  4.00187543e-09  3.31097283e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.02661361e-01  4.02661361e-01  3.23054965e-09 
 0.00000000e+00  4.02660073e-01  5.38970634e-09  4.53940174e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.36553016e-09  3.39781290e-09  3.23054958e-09 
 1.80000000e+00  4.02661353e-01  6.61165116e-09  5.63929348e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.02661355e-01  3.39781295e-09  3.23054965e-09 
 0.00000000e+00  4.02661344e-01  7.87832979e-09  6.79352752e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.36553028e-09  4.02661346e-01  3.23054965e-09 
 1.80000000e+00  4.02662583e-01  9.07147241e-09  7.89076182e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  4.02662585e-01  4.02662585e-01  3.23054971e-09 
 0.00000000e+00  4.02660022e-01  1.00519274e-08  8.79865070e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.36553016e-09  3.39781290e-09  3.23054958e-09 
 1.80000000e+00  4.02661304e-01  1.12494875e-08  9.91319382e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.02661306e-01  3.39781300e-09  3.23054964e-09 
 0.00000000e+00  4.02661310e-01  1.24910345e-08  1.10746043e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.36553023e-09  4.02661312e-01  3.23054964e-09 
 1.80000000e+00  4.02662562e-01  1.36732290e-08  1.21848984e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.02662564e-01  4.02662564e-01  3.23054971e-09 
 0.00000000e+00  4.02661299e-01  1.49150403e-08  1.33551907e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.36553030e-09  3.39781296e-09  3.23054961e-09 
 1.80000000e+00  4.02662571e-01  1.60929221e-08  1.44683696e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.02662573e-01  3.39781303e-09  3.23054971e-09 
 0.00000000e+00  4.02662559e-01  1.73084322e-08  1.56198325e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.36553029e-09  4.02662561e-01  3.23054971e-09 
 1.80000000e+00  4.02663812e-01  1.84760927e-08  1.67284355e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  4.02663814e-01  4.02663814e-01  3.23054977e-09 
 0.00000000e+00  4.02660117e-01  1.87518485e-08  1.69907537e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.36553017e-09  3.39781291e-09  3.23054958e-09 
 1.80000000e+00  4.02661367e-01  1.99469990e-08  1.81278921e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.02661369e-01  3.39781295e-09  3.23054965e-09 
 0.00000000e+00  4.02661286e-01  2.11680582e-08  1.92914058e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.36553022e-09  4.02661288e-01  3.23054964e-09 
 1.80000000e+00  4.02662598e-01  2.23393717e-08  2.04092601e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.02662600e-01  4.02662600e-01  3.23054971e-09 
 0.00000000e+00  4.02661342e-01  2.35655197e-08  2.15808029e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.36553028e-09  3.39781300e-09  3.23054965e-09 
 1.80000000e+00  4.02662633e-01  2.47478347e-08  2.27115322e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.02662635e-01  3.39781304e-09  3.23054971e-09 
 0.00000000e+00  4.02662594e-01  2.59505947e-08  2.38627962e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.36553035e-09  4.02662596e-01  3.23054971e-09 
 1.80000000e+00  4.02663822e-01  2.71105353e-08  2.49741703e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  4.02663824e-01  4.02663824e-01  3.23054977e-09 
 0.00000000e+00  4.02661338e-01  2.79279661e-08  2.57578847e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.36553028e-09  3.39781294e-09  3.23054965e-09 
 1.80000000e+00  4.02662580e-01  2.91087605e-08  2.68907883e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.02662582e-01  3.39781305e-09  3.23054972e-09 
 0.00000000e+00  4.02662564e-01  3.03059397e-08  2.80398638e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.36553035e-09  4.02662566e-01  3.23054971e-09 
 1.80000000e+00  4.02663795e-01  3.14803579e-08  2.91675093e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.02663797e-01  4.02663797e-01  3.23054983e-09 
 0.00000000e+00  4.02662577e-01  3.26678230e-08  3.03087404e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.36553029e-09  3.39781303e-09  3.23054971e-09 
