 vdd             i(Vout)         v(b5)           v(b6)          
 1.80000000e+00  9.92077531e-10  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  2.09771756e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  8.37975023e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  5.02872410e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.12905774e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  1.36429534e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  7.64998731e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  4.30521396e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.05673159e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  2.73628231e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  9.01991370e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  5.67011327e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.19346844e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  5.64259750e-11  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  6.84332591e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  3.50210527e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  9.76177361e-10  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  1.93725924e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  8.22023338e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  4.86990004e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.11328724e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  1.20559562e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  7.49151852e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  4.14688728e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.04088649e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  2.57703192e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  8.86334561e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  5.51214185e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.17776722e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  8.62563354e-11  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  7.15077775e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  3.80412146e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.00689412e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  2.23757013e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  8.52724114e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  5.17241361e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.14411058e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  1.50356172e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  7.79694531e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  4.44659420e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.07167963e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  2.87657898e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  9.16593024e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  5.81334092e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.20845378e-09  1.00000000e+00  1.00000000e+00 
