 net8            v(Vbn)          i(Vout)         i(Vout1)        v(b6)           v(b5)           v(b4)           v(b3)           v(b2)           v(b1)           v(b0)           v(b0out)        v(b1out)        v(b6out)       
 9.47783358e-01  3.59960092e-01  2.50440532e-08  2.37834865e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.37249338e-09  3.44917437e-09  3.34172806e-09 
 9.25460639e-01  3.59961819e-01  3.49291080e-08  3.34961638e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.59961822e-01  3.44917435e-09  3.34172812e-09 
 9.25044596e-01  3.59961788e-01  3.51369332e-08  3.37008451e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.37249340e-09  3.59961791e-01  3.34172808e-09 
 9.08857470e-01  3.59963502e-01  4.39317727e-08  4.23614209e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.59963505e-01  3.59963505e-01  3.34172817e-09 
 9.25040471e-01  3.59961778e-01  3.51402207e-08  3.37039398e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.37249344e-09  3.44917436e-09  3.34172812e-09 
 9.08854355e-01  3.59963474e-01  4.39345706e-08  4.23645059e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.59963476e-01  3.44917445e-09  3.34172816e-09 
 9.08537688e-01  3.59963384e-01  4.41219647e-08  4.25488223e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.37249349e-09  3.59963386e-01  3.34172816e-09 
 8.95842029e-01  3.59965023e-01  5.21009505e-08  5.04133631e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.59965025e-01  3.59965025e-01  3.34172821e-09 
 9.82087425e-01  3.59958355e-01  1.40660378e-08  1.30630904e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.37249332e-09  3.44917432e-09  3.34172801e-09 
 9.46914596e-01  3.59960015e-01  2.53907469e-08  2.41237170e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.59960017e-01  3.44917437e-09  3.34172806e-09 
