 b0              v(Vbn)          i(Vout)         i(Vout1)        v(b6)           v(b5)           v(b4)           v(b3)           v(b2)           v(b1)           v(b0)           v(b0out)        v(b1out)        v(b6out)       
 0.00000000e+00  3.99197987e-01  1.56040110e-11  8.24229573e-12  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.38381560e-09  3.45520340e-09  3.07856368e-09 
 1.80000000e+00  3.99199333e-01  1.27009797e-09  9.82026904e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99199335e-01  3.45520349e-09  3.07856376e-09 
 0.00000000e+00  3.99199300e-01  2.44335201e-09  1.95292671e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.38381567e-09  3.99199302e-01  3.07856376e-09 
 1.80000000e+00  3.99200611e-01  3.60382741e-09  2.95148084e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.99200613e-01  3.99200613e-01  3.07856382e-09 
 0.00000000e+00  3.99199283e-01  4.76178059e-09  3.97622557e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.38381568e-09  3.45520349e-09  3.07856370e-09 
 1.80000000e+00  3.99200581e-01  5.88381939e-09  4.99024111e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.99200583e-01  3.45520358e-09  3.07856383e-09 
 0.00000000e+00  3.99200598e-01  6.93102367e-09  5.95154859e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.38381575e-09  3.99200600e-01  3.07856382e-09 
 1.80000000e+00  3.99201946e-01  8.01720008e-09  6.96083191e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.99201948e-01  3.99201948e-01  3.07856384e-09 
 0.00000000e+00  3.99199311e-01  8.63992520e-09  7.54425855e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.38381568e-09  3.45520349e-09  3.07856370e-09 
 1.80000000e+00  3.99200718e-01  9.73305051e-09  8.57541238e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99200720e-01  3.45520358e-09  3.07856377e-09 
