 b0              v(Vbn)          i(Vout)         i(Vout1)        v(b6)           v(b5)           v(b4)           v(b3)           v(b2)           v(b1)           v(b0)           v(b0out)        v(b1out)        v(b6out)       
 0.00000000e+00  3.99033269e-01  1.16371808e-11  8.41282599e-12  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.37842128e-09  3.07851017e-09  3.18794527e-09 
 1.80000000e+00  3.99034507e-01  8.58925267e-10  9.95214577e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99034509e-01  3.07851024e-09  3.18794530e-09 
 0.00000000e+00  3.99034568e-01  1.79585594e-09  2.03804973e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.37842135e-09  3.99034570e-01  3.18794530e-09 
 1.80000000e+00  3.99035865e-01  2.73198393e-09  3.05185210e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.99035867e-01  3.99035867e-01  3.18794533e-09 
 0.00000000e+00  3.99034607e-01  3.18722830e-09  3.53786334e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.37842135e-09  3.07851023e-09  3.18794530e-09 
 1.80000000e+00  3.99035823e-01  4.15954551e-09  4.56518023e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.99035825e-01  3.07851029e-09  3.18794533e-09 
 0.00000000e+00  3.99035854e-01  5.14613853e-09  5.59592195e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.37842141e-09  3.99035857e-01  3.18794533e-09 
 1.80000000e+00  3.99037089e-01  6.13711117e-09  6.62291200e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.99037091e-01  3.99037091e-01  3.18794537e-09 
 0.00000000e+00  3.99034596e-01  6.91891777e-09  7.42834061e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.37842135e-09  3.07851024e-09  3.18794530e-09 
 1.80000000e+00  3.99035883e-01  7.93835478e-09  8.47379056e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99035885e-01  3.07851025e-09  3.18794533e-09 
 0.00000000e+00  3.99035874e-01  8.95765058e-09  9.51425250e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.37842147e-09  3.99035876e-01  3.18794533e-09 
 1.80000000e+00  3.99037132e-01  9.97712514e-09  1.05516733e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.99037134e-01  3.99037134e-01  3.18794536e-09 
 0.00000000e+00  3.99035891e-01  1.04084570e-08  1.09893676e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.37842142e-09  3.07851030e-09  3.18794533e-09 
